No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
1477,0.5198,4.63332,3.88728,759.198,1.24361,-5.851423333,-8.534306667,0.289232682,0.245141138,8180.43244,16563.79342,0.562689458,1.084109499,7.706627402
1478,0.4508,4.92982,3.72004,480.51,1.77302,-4.117576667,-6.377213333,0.206776603,0.186742701,9325.491837,18522.12098,0.186741362,0.392634528,8.410231644
1479,0.435,4.66461,3.62215,392.936,1.84563,-4.094203333,-6.416053333,0.198916987,0.177335064,9423.366237,18791.59749,0.170038502,0.315963599,7.432754236
1480,0.4496,4.90414,3.69066,445.222,1.79444,-4.100993333,-6.458016667,0.209034508,0.189530919,9834.350976,19578.82414,0.188885742,0.415776745,8.8048307
1481,0.7968,9.62468,7.97439,3478.84,0.668028,-1.57929,-2.28393,0.172623136,0.112852811,12.66534894,281.6740043,0.114534731,0.05444027,1.901266787
1482,0.4036,5.43148,4.91725,276.776,1.63199,-4.83852,-7.54251,0.215111529,0.203808381,14843.95679,29479.18838,0.127897847,0.351279828,10.98626243
1483,0.756,6.30911,4.65211,1985.26,1.66761,-1.558113333,-2.416793333,0.128042689,0.085573604,1889.461584,3869.68472,0.048338346,0.025320155,2.095243805
1484,0.601,4.99635,3.98785,1625.29,1.3412,-2.801596667,-4.346043333,0.186269931,0.142904587,521.7565275,1508.478241,0.145944739,0.12596607,3.452431951
1485,0.6716,8.29315,6.04438,2650.49,0.809806,-3.97621,-5.80464,0.260155042,0.209903676,4310.127007,8971.725021,0.558465902,0.76458434,5.476318875
1486,0.433,6.08641,4.10073,251.407,2.74632,-3.708813333,-6.259596667,0.161375574,0.153048118,18244.17917,35907.49209,0.068282745,0.120023492,7.030970533
1487,0.4952,5.01736,3.38311,169.107,1.95196,-4.233806667,-6.37466,0.184096573,0.162034462,5335.409331,10995.75284,0.131008531,0.200160552,6.111374594
1488,0.8098,15.05124,7.91583,3751.22,0.593338,-2.044196667,-3.08323,0.205880733,0.143382694,4102.017827,8683.283726,0.223163227,0.133181197,2.387153095
1489,0.5914,12.82141,3.84026,683.017,2.18826,-5.570586667,-8.114633333,0.24180675,0.213209055,7212.924756,15603.21948,0.309359334,0.650408671,8.40975008
1490,0.7584,14.97276,6.60675,2829.56,0.720686,-2.178843333,-3.393896667,0.197657555,0.141429762,5228.096063,10946.76059,0.18918771,0.124430962,2.630846623
1491,0.7442,15.04959,5.6073,2720.81,0.712902,-2.84908,-4.280156667,0.229231959,0.173314705,8346.238399,17083.48791,0.346562328,0.309421492,3.57132287
1492,0.8274,17.91796,9.30784,3391.37,0.58027,-2.965086667,-4.377106667,0.243212916,0.179655093,3179.778714,6656.316635,0.46030471,0.366371296,3.183728413
1493,0.7446,11.12176,8.60837,3452.06,0.690728,-4.224976667,-5.64413,0.249636757,0.191585185,5589.167804,11386.64921,0.475235958,0.47125363,3.966481257
1494,0.6888,12.39923,7.07454,2571.13,0.820405,-4.737376667,-7.28149,0.267108179,0.224400962,4763.56306,9864.290059,0.5053953,0.801027903,6.33981284
1495,0.8576,20.32202,9.77849,4451.74,0.420228,-2.38435,-3.437983333,0.228773315,0.161093214,1887.72524,4116.858012,0.347885635,0.218264066,2.509607113
1496,0.862,20.93415,10.62864,4789.64,0.373403,-1.936763333,-2.99556,0.224822636,0.155295729,1525.485646,3341.183344,0.323915824,0.185049426,2.285154504
1497,0.7852,9.45386,7.53326,3472.49,0.697727,-2.714793333,-3.97331,0.219581445,0.158451889,-367.977876,-530.7412116,0.290029646,0.202534156,2.793289014
1498,0.8804,22.95599,15.73034,3196.8,0.384851,-2.109493333,-3.25976,0.200145946,0.131938179,839.0086091,2314.586775,0.197876059,0.093639961,1.892901273
1499,0.8106,10.23978,7.18912,5298.42,0.450146,-2.229603333,-3.307543333,0.220673841,0.155854245,1482.692447,3242.31674,0.296115035,0.186128629,2.514274616
1500,0.4064,4.43559,3.83257,368.205,2.0207,-9.017193333,-13.19066667,0.448058749,0.408997741,13695.03484,27761.72278,0.21388394,2.129478188,39.82492913
1501,0.5868,6.13983,5.63757,1351.17,1.11988,-4.078913333,-6.144843333,0.253813999,0.213494615,8604.94862,17194.17924,0.430167956,0.727522927,6.765012752
1502,0.5596,8.04073,4.66175,1248.21,1.03481,-5.050486667,-7.596173333,0.277898217,0.248723565,12192.98888,24491.52212,0.415384588,0.980424934,9.441129616
1503,0.5596,8.917,6.18945,1209.64,1.04513,-5.424916667,-8.542143333,0.283685958,0.259511021,13136.8531,26552.50915,0.411173392,0.979866689,9.532393954
1505,0.3714,6.67559,6.34874,503.846,1.77157,-4.433236667,-6.685996667,0.231246102,0.205006791,3960.946081,8145.60257,0.212632213,0.438304457,8.245306782
1508,0.453,5.34669,4.59707,414.195,2.32794,-4.67544,-7.280283333,0.238587923,0.219431178,12779.04132,25126.20708,0.209501326,0.578045035,11.03658952
